Idade,UsoMensal,Plano,SatisfacaoCliente,TempoContrato,ValorMensal,Churn
56,52,Premium,1,Curto,75.48,0
69,65,Basico,4,Curto,79.25,0
46,76,Standard,3,Longo,183.56,0
32,42,Basico,2,Longo,162.5,0
60,74,Standard,2,Longo,186.23,1
25,22,Standard,3,Medio,163.81,1
38,54,Basico,1,Medio,139.57,0
56,79,Basico,2,Medio,148.12,0
36,94,Basico,5,Longo,183.37,0
40,74,Premium,3,Curto,136.82,0
28,15,Standard,3,Longo,144.86,1
28,7,Premium,2,Medio,73.47,1
41,3,Premium,1,Medio,121.09,1
70,3,Basico,5,Longo,157.46,0
53,55,Premium,1,Longo,90.64,1
57,24,Basico,4,Medio,80.34,1
41,66,Standard,4,Medio,97.07,0
20,95,Basico,2,Medio,86.23,1
39,66,Premium,2,Longo,82.24,1
70,26,Premium,2,Medio,113.73,1
19,92,Basico,4,Medio,186.18,0
41,31,Basico,1,Curto,126.06,1
61,49,Premium,1,Longo,78.19,1
47,60,Standard,2,Curto,61.55,1
55,50,Standard,5,Curto,154.42,0
19,18,Basico,1,Medio,107.42,1
38,20,Standard,4,Longo,173.27,1
50,4,Premium,3,Medio,148.93,0
29,81,Basico,3,Longo,169.44,0
39,91,Premium,3,Curto,90.79,0
61,41,Premium,5,Longo,153.85,0
42,60,Standard,2,Medio,89.61,1
66,21,Basico,4,Medio,190.86,0
44,20,Basico,5,Medio,145.46,1
59,69,Standard,4,Longo,98.68,0
45,0,Premium,4,Curto,90.43,0
33,4,Premium,2,Curto,78.64,1
32,11,Premium,3,Longo,154.2,0
64,89,Premium,2,Medio,82.81,0
68,45,Basico,5,Curto,139.3,0
61,33,Basico,5,Medio,89.7,0
72,48,Standard,5,Longo,149.3,0
69,77,Standard,2,Medio,172.24,1
74,89,Basico,4,Curto,166.7,0
20,44,Basico,4,Curto,164.13,0
54,26,Premium,1,Medio,78.16,1
68,72,Premium,5,Longo,63.26,0
24,25,Standard,4,Medio,154.84,1
38,46,Basico,1,Longo,105.25,0
26,85,Standard,4,Medio,114.85,0
56,55,Basico,5,Curto,54.67,0
35,93,Premium,3,Longo,88.94,0
21,62,Standard,5,Longo,55.05,0
42,47,Standard,2,Longo,181.88,1
31,60,Basico,4,Curto,86.51,0
67,80,Premium,4,Medio,133.6,0
26,25,Standard,2,Curto,55.85,1
43,35,Premium,2,Longo,150.03,1
70,0,Standard,3,Medio,98.45,0
19,7,Premium,4,Curto,184.69,1
37,98,Basico,4,Longo,183.22,0
45,51,Standard,3,Longo,98.79,0
64,78,Standard,1,Curto,185.14,1
24,46,Premium,3,Curto,199.42,0
61,55,Premium,5,Curto,173.81,0
25,85,Standard,4,Longo,176.73,0
64,13,Basico,2,Curto,87.35,1
52,89,Premium,5,Longo,136.51,0
31,27,Premium,4,Curto,60.09,0
34,86,Premium,3,Longo,64.24,0
53,77,Standard,5,Longo,199.83,0
67,87,Standard,4,Medio,99.0,0
57,1,Standard,1,Curto,162.23,1
21,25,Standard,1,Curto,171.0,1
19,13,Basico,2,Longo,178.7,1
23,58,Basico,4,Longo,199.64,0
71,55,Standard,1,Longo,86.22,0
59,6,Basico,3,Medio,56.05,1
21,2,Premium,4,Medio,111.68,0
71,22,Premium,3,Longo,69.51,0
46,17,Premium,3,Curto,53.36,1
35,37,Standard,1,Curto,104.06,1
43,98,Premium,4,Medio,167.56,0
61,14,Basico,5,Medio,134.93,0
51,63,Standard,1,Longo,96.92,0
27,88,Basico,1,Curto,148.15,0
53,27,Premium,4,Longo,84.8,0
31,73,Premium,4,Medio,52.16,0
48,38,Premium,3,Curto,164.65,0
65,56,Standard,4,Curto,143.56,0
32,16,Basico,3,Medio,164.35,1
25,85,Standard,1,Longo,55.84,1
31,89,Standard,2,Longo,175.57,0
40,43,Premium,5,Curto,142.93,0
74,24,Standard,1,Medio,134.51,1
57,16,Standard,4,Curto,143.69,0
38,12,Premium,5,Medio,179.66,0
33,83,Standard,2,Longo,138.04,1
62,24,Premium,2,Medio,137.14,1
35,67,Premium,3,Longo,198.6,0
64,9,Premium,5,Medio,163.51,0
70,66,Premium,3,Curto,116.34,0
41,17,Standard,1,Longo,156.11,1
43,99,Premium,5,Curto,108.38,0
42,85,Premium,1,Curto,84.33,0
62,33,Standard,3,Longo,139.53,1
58,7,Standard,5,Longo,189.23,1
46,39,Basico,3,Curto,189.37,0
32,82,Standard,5,Curto,101.29,0
62,41,Standard,3,Curto,129.15,0
18,40,Basico,2,Curto,81.75,0
42,5,Standard,3,Longo,199.34,0
24,51,Standard,2,Longo,197.17,0
26,25,Standard,3,Curto,147.43,1
41,63,Standard,5,Medio,170.66,0
18,97,Basico,5,Medio,157.27,0
61,58,Standard,5,Longo,138.97,0
25,55,Standard,4,Curto,58.0,0
41,58,Basico,1,Curto,118.21,0
28,69,Premium,5,Longo,151.22,0
68,32,Basico,2,Medio,151.63,1
34,52,Premium,5,Medio,105.97,0
25,21,Basico,4,Medio,191.25,1
52,20,Basico,2,Longo,75.1,1
52,69,Standard,4,Medio,125.05,0
50,69,Premium,2,Longo,153.63,0
22,3,Standard,3,Longo,154.57,0
59,93,Premium,1,Curto,147.3,1
56,74,Basico,1,Medio,91.29,0
58,61,Basico,4,Longo,73.43,0
45,61,Premium,1,Medio,145.39,1
24,93,Standard,4,Medio,139.9,0
26,94,Standard,4,Curto,76.9,0
25,23,Standard,4,Medio,155.77,0
29,54,Standard,1,Curto,118.28,0
51,8,Basico,4,Longo,150.16,0
50,2,Basico,1,Medio,175.61,1
65,30,Basico,4,Longo,75.46,1
72,39,Basico,5,Medio,52.87,1
40,35,Basico,4,Longo,166.87,1
41,23,Standard,2,Medio,141.45,1
54,94,Standard,4,Medio,154.95,0
52,5,Standard,3,Medio,175.72,1
61,65,Standard,4,Medio,170.42,0
57,83,Basico,2,Medio,194.14,0
39,91,Basico,2,Medio,130.39,0
44,74,Basico,1,Medio,123.27,1
52,3,Premium,5,Medio,110.28,1
18,78,Standard,4,Medio,73.05,0
52,5,Standard,1,Longo,135.89,1
54,93,Basico,5,Curto,91.55,0
64,50,Standard,4,Medio,188.2,0
31,61,Standard,3,Curto,137.48,0
20,56,Basico,4,Medio,138.93,0
18,65,Premium,2,Medio,103.24,0
22,78,Premium,2,Longo,57.8,0
43,74,Premium,3,Longo,54.76,0
72,7,Basico,1,Curto,113.5,1
31,25,Standard,5,Longo,62.68,0
56,50,Basico,4,Longo,141.03,0
44,44,Basico,2,Curto,182.15,1
26,43,Standard,1,Longo,182.44,1
32,4,Premium,3,Medio,148.86,1
32,69,Premium,2,Curto,81.68,1
43,25,Basico,3,Curto,179.45,0
59,67,Premium,4,Medio,182.91,0
30,18,Basico,5,Longo,79.5,0
68,83,Basico,2,Curto,160.61,0
49,96,Standard,2,Curto,92.98,1
56,19,Standard,4,Medio,170.4,1
66,11,Standard,1,Medio,199.59,1
69,46,Basico,5,Longo,54.5,0
49,0,Standard,2,Curto,184.6,1
21,89,Premium,5,Longo,143.39,0
47,13,Premium,2,Longo,196.01,1
54,63,Basico,5,Medio,119.75,0
40,37,Basico,3,Curto,177.11,1
56,36,Standard,2,Curto,59.36,1
62,10,Basico,5,Curto,100.29,0
32,99,Basico,1,Medio,60.05,0
60,76,Premium,3,Medio,196.3,0
46,2,Premium,3,Medio,172.55,1
53,32,Standard,1,Medio,177.88,1
30,5,Basico,5,Medio,190.69,0
49,49,Basico,4,Curto,62.77,0
24,9,Premium,1,Longo,107.84,1
68,4,Basico,5,Curto,60.66,0
39,22,Premium,1,Longo,81.62,1
45,9,Standard,1,Medio,84.4,1
19,43,Premium,2,Longo,120.37,1
59,1,Basico,5,Curto,90.28,1
62,12,Standard,4,Curto,65.15,1
74,39,Premium,2,Longo,75.12,1
70,1,Premium,1,Medio,72.09,1
23,83,Standard,1,Medio,195.96,1
45,64,Standard,1,Curto,163.89,1
45,62,Premium,5,Longo,195.16,0
61,72,Basico,5,Medio,115.96,0
61,16,Premium,2,Medio,91.76,1
37,8,Standard,4,Curto,169.74,0
47,74,Premium,2,Medio,98.94,0
28,14,Standard,3,Longo,94.91,0
72,23,Standard,1,Curto,84.88,1
45,37,Basico,1,Curto,69.45,1
42,34,Standard,1,Longo,88.47,1
56,93,Standard,2,Curto,103.3,1
50,94,Basico,2,Medio,151.1,0
18,48,Standard,1,Medio,59.38,0
74,68,Basico,2,Longo,81.58,0
44,61,Basico,5,Medio,171.35,0
74,59,Standard,5,Longo,72.04,0
69,49,Standard,2,Longo,101.4,0
30,77,Premium,1,Medio,179.7,0
58,74,Basico,2,Longo,73.24,1
20,8,Premium,2,Medio,62.41,1
56,33,Standard,2,Curto,122.68,1
23,75,Premium,3,Curto,95.36,0
25,98,Basico,5,Longo,134.51,0
44,34,Premium,4,Medio,170.57,1
26,0,Basico,4,Medio,70.57,0
54,39,Standard,3,Curto,137.1,0
50,63,Standard,2,Curto,125.83,1
68,21,Basico,3,Medio,71.61,0
59,59,Standard,3,Longo,143.6,0
61,63,Standard,1,Curto,91.05,1
41,92,Standard,5,Longo,123.18,0
32,71,Standard,4,Longo,62.34,0
71,10,Basico,2,Curto,118.94,1
49,13,Premium,4,Longo,95.97,1
49,59,Premium,4,Longo,173.36,0
41,29,Standard,5,Medio,58.55,1
58,34,Premium,4,Longo,112.79,0
69,84,Premium,4,Medio,118.76,0
66,36,Standard,3,Curto,158.75,1
66,4,Standard,5,Curto,136.14,0
69,82,Premium,1,Medio,150.08,0
29,77,Basico,2,Curto,166.56,0
56,25,Standard,4,Longo,179.33,1
19,61,Basico,2,Longo,97.08,1
20,3,Premium,1,Longo,130.7,1
66,88,Standard,2,Curto,176.02,0
54,41,Basico,1,Longo,198.42,1
66,88,Standard,3,Curto,183.43,0
73,17,Premium,4,Longo,105.72,0
34,39,Basico,1,Medio,79.27,1
66,71,Premium,2,Curto,123.41,0
19,38,Premium,4,Curto,161.25,1
19,13,Standard,3,Longo,123.89,1
45,31,Basico,4,Curto,122.48,1
71,50,Premium,1,Curto,175.73,0
40,37,Premium,3,Medio,104.21,1
54,96,Basico,2,Medio,178.97,1
49,22,Premium,3,Longo,111.02,1
50,62,Premium,3,Medio,99.23,0
18,14,Basico,5,Longo,118.1,0
36,96,Basico,3,Longo,164.37,0
19,24,Basico,3,Longo,68.9,1
70,16,Basico,4,Curto,79.46,1
61,96,Standard,2,Medio,192.72,1
43,65,Basico,4,Longo,76.32,0
49,77,Standard,4,Medio,135.16,0
23,52,Standard,1,Longo,136.9,0
49,50,Standard,4,Medio,123.44,0
72,38,Premium,5,Medio,146.71,1
21,50,Standard,5,Longo,84.47,0
72,69,Standard,1,Curto,132.9,0
28,5,Premium,2,Medio,105.83,1
73,66,Premium,2,Curto,149.25,0
34,6,Premium,4,Curto,71.18,0
55,50,Basico,4,Longo,135.63,0
41,71,Premium,4,Longo,77.79,0
22,41,Premium,2,Longo,91.8,0
69,63,Standard,3,Medio,82.81,0
51,14,Premium,5,Longo,77.43,1
23,28,Basico,3,Longo,173.86,1
39,32,Premium,3,Medio,92.86,0
28,93,Basico,2,Medio,189.07,1
65,26,Premium,3,Longo,195.49,0
33,35,Premium,1,Longo,135.69,1
50,28,Premium,4,Longo,71.45,0
26,37,Premium,1,Longo,106.18,1
23,56,Basico,5,Curto,169.66,0
33,96,Basico,4,Curto,105.11,0
46,26,Standard,3,Longo,63.05,0
20,54,Basico,5,Curto,133.52,0
37,32,Premium,4,Medio,176.77,1
53,67,Standard,3,Curto,169.39,0
36,85,Standard,1,Curto,76.27,1
43,65,Standard,4,Longo,150.91,0
20,9,Premium,3,Curto,83.08,1
36,4,Basico,1,Curto,82.73,1
37,73,Premium,5,Curto,181.11,0
49,96,Standard,5,Curto,87.45,0
24,37,Premium,5,Medio,89.49,1
69,12,Premium,5,Longo,50.1,0
58,30,Basico,2,Longo,180.6,1
50,46,Basico,4,Medio,168.89,0
57,99,Standard,4,Curto,144.1,0
56,87,Premium,2,Medio,162.54,0
35,51,Premium,3,Curto,72.81,0
57,55,Basico,3,Medio,118.75,0
18,14,Premium,5,Longo,102.68,1
28,28,Premium,1,Longo,64.07,1
45,7,Premium,3,Longo,122.92,1
74,4,Basico,1,Curto,188.11,1
42,28,Standard,4,Curto,56.01,1
67,46,Standard,1,Medio,93.72,1
40,67,Premium,4,Medio,81.13,0
48,75,Standard,2,Longo,85.72,1
47,44,Basico,2,Curto,186.27,0
59,1,Basico,5,Medio,120.21,1
52,26,Standard,3,Curto,119.94,0
24,94,Standard,5,Curto,164.09,0
33,35,Premium,4,Longo,73.17,1
43,35,Standard,5,Longo,123.09,1
65,25,Premium,1,Curto,114.5,1
74,42,Premium,4,Curto,139.54,0
69,26,Basico,2,Curto,199.93,1
66,68,Basico,3,Curto,165.42,0
19,19,Basico,4,Longo,109.68,1
18,10,Basico,4,Medio,174.13,0
65,73,Standard,1,Longo,75.61,1
29,37,Basico,3,Medio,54.57,0
22,5,Standard,2,Curto,80.67,1
54,71,Basico,4,Medio,101.06,0
49,22,Standard,4,Longo,126.59,1
72,46,Premium,1,Longo,142.27,0
26,89,Standard,5,Curto,186.59,0
58,45,Standard,2,Longo,126.48,1
52,11,Basico,3,Curto,125.19,1
36,89,Standard,4,Longo,57.54,0
65,12,Premium,4,Longo,55.24,1
33,61,Premium,2,Curto,132.67,1
20,81,Basico,5,Medio,115.73,0
37,88,Premium,4,Longo,175.88,0
41,96,Standard,2,Medio,74.1,1
71,59,Premium,1,Longo,53.75,1
73,42,Basico,5,Longo,117.36,0
50,75,Standard,3,Longo,85.62,0
41,99,Basico,4,Longo,57.44,0
69,67,Standard,2,Medio,158.69,1
28,4,Premium,1,Medio,66.74,1
66,36,Basico,3,Longo,141.25,0
25,71,Basico,2,Longo,92.16,1
53,91,Standard,2,Medio,76.02,0
55,30,Basico,3,Curto,106.96,1
57,8,Standard,1,Curto,170.22,1
37,50,Standard,1,Medio,108.81,1
52,28,Standard,5,Longo,162.62,0
65,77,Standard,4,Longo,68.82,0
42,39,Premium,3,Curto,165.92,1
52,40,Standard,3,Curto,85.54,0
42,85,Basico,3,Medio,151.61,0
46,10,Premium,1,Curto,134.87,1
35,22,Basico,4,Medio,189.37,0
63,0,Premium,5,Curto,108.1,0
35,45,Standard,2,Curto,59.92,1
19,20,Premium,2,Curto,52.87,1
71,89,Premium,3,Longo,174.03,0
52,35,Basico,4,Longo,128.71,0
33,53,Basico,1,Longo,166.29,0
58,86,Standard,4,Curto,85.16,0
53,56,Premium,4,Medio,101.76,0
50,0,Premium,1,Medio,54.52,1
21,62,Premium,3,Medio,194.22,0
50,53,Standard,4,Medio,150.18,0
31,54,Standard,2,Longo,189.98,0
38,39,Standard,1,Longo,89.82,1
65,14,Standard,5,Curto,141.72,0
37,20,Standard,3,Curto,151.77,0
73,46,Basico,1,Medio,97.63,1
25,72,Premium,5,Longo,177.22,0
24,52,Premium,5,Medio,192.07,0
20,8,Premium,4,Curto,182.73,0
34,73,Premium,4,Curto,160.86,0
50,51,Premium,4,Medio,91.62,0
65,56,Premium,1,Curto,92.24,1
29,25,Premium,1,Medio,194.5,1
68,40,Premium,3,Longo,51.54,0
39,34,Basico,4,Medio,157.41,0
72,62,Premium,5,Longo,155.94,0
39,24,Basico,2,Longo,143.4,1
63,89,Standard,3,Curto,198.52,0
47,74,Premium,1,Curto,96.78,0
55,37,Standard,3,Curto,101.0,1
55,1,Standard,3,Medio,61.84,1
62,6,Standard,3,Medio,116.42,0
68,81,Basico,3,Curto,89.16,0
71,90,Standard,2,Medio,101.51,0
25,33,Standard,4,Curto,175.19,0
44,90,Standard,5,Medio,190.32,0
44,16,Premium,3,Longo,77.86,0
51,42,Premium,3,Longo,105.88,0
38,58,Basico,3,Curto,189.29,0
47,50,Basico,4,Medio,59.27,0
50,53,Premium,1,Medio,63.85,1
45,23,Basico,1,Longo,74.42,1
64,24,Premium,2,Longo,139.28,1
50,70,Standard,1,Curto,72.57,0
22,51,Standard,3,Longo,195.21,0
65,69,Basico,3,Curto,117.01,0
36,87,Premium,3,Longo,125.23,0
21,32,Premium,2,Longo,87.0,1
52,48,Basico,3,Medio,120.64,0
66,28,Premium,1,Longo,149.29,1
34,62,Standard,4,Longo,162.68,0
61,21,Basico,4,Curto,163.08,0
45,25,Basico,5,Longo,136.68,1
47,27,Premium,1,Curto,185.65,1
46,84,Basico,3,Longo,172.61,0
63,48,Premium,4,Longo,163.56,0
70,70,Premium,1,Curto,58.34,1
23,80,Premium,4,Medio,51.03,0
52,83,Premium,3,Curto,81.87,0
58,48,Premium,4,Curto,149.53,0
54,19,Basico,5,Curto,111.68,0
41,85,Standard,5,Medio,110.36,0
46,91,Standard,4,Longo,182.69,0
66,62,Basico,1,Curto,184.33,0
63,60,Basico,1,Curto,186.38,0
70,48,Standard,1,Medio,97.08,1
48,70,Standard,4,Curto,153.66,0
52,0,Standard,1,Longo,90.74,1
50,95,Standard,3,Medio,78.59,0
69,12,Standard,5,Longo,77.69,0
38,93,Premium,3,Longo,101.32,0
49,86,Basico,1,Medio,114.49,0
40,50,Premium,3,Curto,174.64,0
50,55,Standard,1,Longo,67.98,0
20,82,Standard,4,Longo,160.24,0
35,61,Standard,3,Longo,129.72,0
42,31,Premium,4,Longo,93.19,0
59,29,Premium,4,Medio,123.92,1
48,28,Standard,2,Medio,94.99,1
71,48,Premium,1,Longo,139.41,1
20,44,Premium,5,Curto,115.08,0
57,92,Standard,1,Longo,74.66,1
63,29,Premium,5,Curto,67.49,0
41,15,Basico,1,Longo,132.0,1
67,39,Basico,4,Curto,185.36,0
49,18,Basico,3,Longo,101.59,0
64,17,Basico,3,Curto,159.95,1
39,0,Standard,2,Longo,148.8,1
40,77,Standard,5,Longo,189.73,0
19,46,Standard,5,Curto,173.15,0
44,65,Basico,5,Medio,134.99,0
59,91,Basico,4,Curto,148.55,0
19,93,Premium,5,Medio,184.76,0
43,37,Premium,3,Longo,109.93,0
34,50,Basico,4,Curto,99.02,0
57,62,Basico,1,Curto,51.62,1
50,3,Basico,5,Curto,173.98,0
26,0,Basico,5,Medio,170.15,0
60,7,Premium,1,Medio,65.67,1
71,28,Basico,5,Longo,136.53,1
65,54,Premium,1,Medio,119.6,1
56,2,Basico,4,Medio,67.81,0
46,31,Basico,3,Longo,197.09,0
59,9,Basico,1,Curto,82.2,1
72,73,Premium,2,Curto,60.09,1
43,82,Premium,1,Longo,139.23,0
52,33,Standard,5,Curto,160.83,0
67,96,Basico,4,Medio,54.87,0
42,86,Standard,4,Longo,148.81,0
41,54,Standard,1,Longo,129.84,0
30,91,Premium,3,Longo,65.49,0
24,31,Premium,2,Curto,75.88,1
74,49,Standard,4,Longo,135.2,0
53,6,Basico,5,Longo,94.45,0
62,92,Premium,5,Longo,190.75,0
37,7,Basico,3,Curto,172.81,1
18,64,Basico,4,Medio,197.54,0
25,56,Standard,1,Longo,88.95,1
63,66,Standard,5,Medio,195.46,0
33,87,Standard,3,Curto,114.69,0
31,86,Standard,4,Curto,102.13,0
29,58,Premium,4,Curto,57.55,0
68,71,Premium,4,Curto,57.91,0
40,53,Standard,4,Medio,153.8,0
32,66,Premium,4,Longo,118.69,0
45,50,Standard,5,Curto,83.98,0
51,96,Basico,3,Curto,142.1,0
19,91,Basico,4,Medio,87.93,0
49,7,Basico,2,Medio,136.64,1
40,33,Standard,2,Curto,103.88,1
39,34,Basico,3,Longo,173.53,1
68,95,Premium,1,Longo,173.1,1
42,87,Basico,1,Curto,121.6,0
39,77,Basico,1,Medio,102.62,0
39,31,Basico,2,Curto,104.38,1
66,45,Premium,1,Curto,170.86,0
69,15,Standard,5,Medio,99.23,0
59,67,Premium,4,Curto,81.36,0
23,36,Standard,2,Curto,62.7,1
32,53,Standard,3,Curto,120.0,0
71,84,Basico,3,Medio,122.32,0
60,13,Standard,4,Longo,176.14,0
54,94,Premium,2,Longo,83.19,1
50,54,Premium,1,Medio,107.15,1
