Idade,UsoMensal,Plano,SatisfacaoCliente,TempoContrato,ValorMensal,Churn
25,47,Standard,1,Longo,171.26,1
70,81,Basico,5,Curto,173.54,0
61,6,Basico,5,Longo,107.69,0
61,73,Premium,1,Curto,118.87,1
22,6,Basico,3,Longo,95.49,0
56,32,Standard,3,Medio,189.88,0
21,22,Standard,5,Longo,67.8,0
23,84,Premium,4,Longo,190.06,0
62,18,Standard,1,Longo,152.58,1
49,18,Premium,5,Medio,129.74,1
69,35,Standard,5,Longo,54.9,1
47,28,Premium,1,Medio,121.34,1
64,59,Basico,1,Curto,111.16,0
52,81,Standard,3,Longo,74.18,0
72,1,Standard,4,Medio,148.46,0
57,0,Premium,4,Medio,195.67,1
69,46,Premium,1,Longo,134.33,0
33,68,Standard,2,Curto,157.21,1
30,19,Premium,5,Medio,60.27,0
67,10,Standard,5,Longo,112.65,1
59,1,Basico,1,Curto,67.45,1
47,66,Premium,2,Medio,141.92,1
36,86,Standard,3,Medio,190.77,0
34,11,Basico,1,Curto,149.27,1
73,19,Basico,1,Curto,61.52,1
36,4,Standard,5,Longo,103.2,0
45,36,Premium,1,Longo,132.6,1
72,37,Standard,1,Medio,110.48,1
43,93,Basico,1,Curto,175.05,1
54,8,Standard,5,Curto,172.2,1
43,97,Premium,3,Curto,141.77,0
70,52,Basico,3,Medio,106.02,0
40,43,Standard,1,Curto,88.3,0
26,98,Premium,5,Curto,65.88,0
29,85,Basico,3,Medio,103.23,0
70,23,Premium,3,Longo,111.98,0
18,80,Basico,3,Longo,151.37,0
18,73,Standard,5,Medio,148.72,0
64,29,Premium,5,Curto,60.52,1
51,58,Basico,1,Medio,109.29,0
49,86,Premium,4,Longo,77.27,0
71,95,Premium,3,Longo,73.52,0
65,80,Standard,4,Medio,174.1,0
42,80,Premium,5,Medio,56.29,0
57,13,Basico,5,Longo,112.88,1
62,8,Basico,5,Medio,75.23,1
70,39,Basico,4,Longo,181.9,1
18,65,Basico,5,Medio,133.56,0
33,24,Standard,1,Medio,84.71,1
56,72,Premium,5,Medio,125.36,0
22,21,Standard,2,Longo,159.72,1
39,3,Premium,4,Medio,193.72,1
46,25,Premium,2,Longo,83.07,1
72,57,Premium,5,Longo,182.93,0
20,28,Standard,1,Medio,190.15,1
29,97,Premium,3,Medio,187.46,0
43,86,Standard,5,Longo,145.31,0
33,36,Basico,1,Longo,144.47,1
68,74,Basico,4,Curto,110.48,0
54,69,Premium,2,Longo,162.86,0
39,17,Standard,2,Curto,129.69,1
74,84,Basico,2,Curto,151.62,1
46,41,Standard,4,Curto,114.27,0
31,99,Standard,1,Medio,159.72,0
45,40,Premium,4,Medio,173.67,0
22,37,Basico,2,Longo,71.97,1
64,33,Premium,5,Curto,174.94,0
66,16,Premium,3,Medio,131.04,0
47,36,Basico,4,Medio,176.7,1
63,24,Basico,4,Medio,114.7,0
69,75,Standard,1,Medio,106.86,0
22,86,Basico,1,Medio,187.26,0
29,85,Standard,4,Curto,87.68,0
33,84,Standard,2,Curto,176.63,1
43,26,Standard,3,Curto,122.6,0
43,56,Basico,1,Curto,127.11,1
65,30,Premium,2,Longo,96.27,1
38,5,Standard,5,Curto,135.96,1
56,90,Premium,1,Medio,98.78,1
53,39,Premium,2,Curto,55.89,1
50,97,Basico,2,Longo,90.8,1
47,11,Premium,3,Medio,50.96,1
54,52,Premium,3,Curto,196.75,0
40,70,Basico,5,Curto,194.86,0
27,9,Standard,2,Curto,109.27,1
71,44,Premium,2,Medio,159.26,0
22,16,Basico,3,Medio,101.87,0
53,25,Premium,1,Longo,150.66,1
51,84,Premium,1,Medio,170.81,0
69,91,Standard,4,Medio,192.01,0
48,61,Premium,3,Curto,110.03,0
27,45,Basico,4,Medio,167.49,0
36,63,Premium,3,Curto,89.89,0
49,1,Standard,5,Curto,198.55,0
18,53,Standard,2,Medio,53.87,0
73,64,Basico,5,Longo,140.53,0
22,50,Standard,3,Longo,148.93,0
62,52,Premium,2,Medio,153.21,1
21,35,Standard,1,Longo,68.06,1
33,25,Basico,1,Curto,190.78,1
41,28,Standard,4,Curto,77.18,0
33,20,Standard,3,Medio,143.41,1
72,10,Standard,3,Longo,83.4,0
19,39,Basico,1,Longo,96.08,1
66,10,Standard,5,Curto,131.97,0
45,35,Standard,2,Medio,112.58,1
49,58,Premium,5,Longo,74.03,0
44,38,Basico,5,Medio,75.64,1
37,98,Standard,1,Longo,112.72,1
41,53,Basico,1,Curto,163.59,0
29,97,Standard,1,Curto,184.69,0
67,54,Standard,4,Medio,62.62,0
52,23,Standard,5,Curto,108.97,0
50,21,Premium,3,Longo,65.04,1
50,68,Premium,2,Curto,52.49,1
68,55,Premium,4,Medio,149.26,0
60,32,Basico,3,Medio,140.37,1
54,35,Basico,5,Medio,74.45,1
29,19,Premium,1,Longo,85.07,1
20,82,Basico,5,Longo,53.56,0
18,98,Standard,2,Longo,175.24,0
50,80,Standard,4,Longo,196.2,0
57,61,Standard,4,Longo,70.32,0
27,97,Premium,2,Curto,84.72,0
60,72,Basico,3,Longo,180.26,0
61,25,Premium,3,Longo,188.97,0
46,65,Basico,4,Curto,112.94,0
30,72,Standard,4,Longo,57.59,0
29,72,Premium,1,Medio,55.91,1
48,39,Basico,3,Longo,136.09,1
63,16,Basico,2,Longo,108.93,1
19,0,Standard,3,Medio,54.3,0
68,88,Premium,1,Medio,137.49,1
67,60,Premium,4,Medio,51.7,0
52,42,Premium,4,Medio,168.11,0
40,41,Standard,1,Longo,95.96,1
34,24,Premium,2,Medio,56.04,1
43,38,Standard,4,Medio,138.25,1
25,34,Standard,5,Curto,109.65,0
46,2,Standard,4,Medio,196.07,0
43,43,Basico,5,Medio,131.63,0
27,50,Premium,1,Curto,91.29,1
43,93,Premium,1,Curto,156.42,1
51,97,Standard,4,Longo,90.72,0
68,11,Standard,3,Curto,185.64,0
58,18,Premium,5,Longo,106.21,0
24,43,Standard,2,Curto,132.48,0
21,58,Premium,4,Curto,57.59,0
70,48,Basico,2,Longo,113.92,0
67,60,Standard,4,Curto,174.85,0
62,16,Premium,3,Longo,170.85,0
28,73,Standard,3,Curto,83.65,0
46,56,Premium,3,Medio,83.91,0
73,54,Premium,3,Curto,172.6,0
53,46,Standard,1,Longo,189.56,0
42,11,Basico,1,Curto,64.3,1
38,61,Premium,5,Longo,117.51,0
74,79,Premium,2,Longo,100.62,1
53,87,Premium,4,Medio,180.6,0
27,82,Basico,4,Medio,62.53,0
54,7,Basico,1,Longo,81.67,1
26,94,Standard,4,Curto,162.87,0
41,20,Basico,1,Longo,57.69,1
52,80,Standard,5,Longo,123.88,0
66,86,Standard,2,Curto,116.32,1
52,79,Basico,5,Curto,100.16,0
65,69,Standard,3,Curto,109.19,0
53,71,Basico,3,Curto,129.49,0
35,24,Standard,3,Longo,74.21,1
66,81,Basico,5,Longo,135.8,0
56,88,Basico,4,Medio,170.81,0
49,11,Standard,2,Longo,164.02,1
41,14,Premium,3,Curto,73.08,0
40,58,Standard,3,Medio,72.39,0
49,25,Basico,3,Curto,90.23,0
54,25,Premium,2,Longo,104.16,1
29,46,Standard,3,Medio,111.27,0
66,31,Standard,2,Curto,151.95,1
72,9,Standard,3,Medio,58.5,0
30,15,Premium,5,Medio,55.2,0
40,70,Basico,5,Longo,108.79,0
42,16,Standard,2,Curto,154.57,1
52,22,Standard,5,Medio,79.02,1
58,25,Standard,2,Medio,146.23,1
47,84,Standard,5,Curto,88.97,0
34,85,Standard,5,Medio,182.91,0
66,6,Basico,2,Medio,184.35,1
37,13,Basico,4,Medio,94.59,1
65,78,Standard,5,Curto,84.5,0
42,6,Premium,3,Curto,111.7,1
39,8,Basico,4,Curto,86.08,0
30,47,Premium,2,Curto,150.86,1
36,71,Basico,4,Longo,173.91,0
66,58,Standard,1,Medio,150.96,1
53,86,Basico,1,Curto,173.65,1
29,92,Standard,5,Medio,109.55,0
58,81,Basico,5,Medio,73.45,0
36,94,Standard,3,Longo,160.69,0
29,93,Standard,4,Curto,104.07,0
26,38,Standard,1,Curto,150.69,1
24,98,Standard,5,Medio,90.6,0
45,17,Premium,4,Curto,62.18,1
31,58,Standard,5,Medio,198.89,0
48,16,Premium,5,Medio,73.43,0
69,13,Premium,1,Longo,198.26,1
36,30,Standard,1,Longo,196.59,1
64,23,Premium,5,Longo,169.07,1
33,98,Basico,2,Medio,148.91,1
70,59,Standard,5,Curto,136.67,0
22,44,Premium,5,Longo,179.92,0
52,97,Standard,3,Curto,93.42,0
29,2,Standard,3,Longo,120.15,0
42,36,Standard,3,Longo,142.91,1
69,42,Premium,2,Medio,111.68,1
38,39,Basico,2,Longo,114.12,1
53,89,Basico,5,Longo,99.54,0
70,54,Premium,3,Medio,134.63,0
40,86,Standard,2,Curto,177.59,0
33,38,Premium,1,Longo,80.23,1
74,14,Premium,5,Medio,190.16,0
56,3,Premium,4,Longo,153.36,1
62,92,Standard,5,Medio,173.49,0
70,85,Premium,4,Curto,133.43,0
59,24,Standard,3,Curto,166.93,0
56,12,Premium,4,Medio,52.43,1
31,81,Basico,3,Medio,172.76,0
48,32,Premium,1,Medio,56.02,1
22,15,Premium,4,Curto,183.49,1
52,41,Basico,5,Longo,198.79,0
40,65,Standard,3,Curto,94.11,0
46,54,Standard,5,Medio,81.55,0
60,98,Premium,2,Medio,164.8,1
28,41,Basico,3,Curto,87.95,0
35,33,Standard,4,Medio,179.83,1
64,29,Premium,3,Curto,65.43,0
29,12,Basico,5,Medio,68.89,0
26,12,Standard,1,Longo,196.87,1
27,17,Standard,3,Longo,151.08,1
61,31,Basico,4,Medio,177.03,0
34,95,Basico,2,Curto,98.65,1
55,98,Basico,1,Longo,151.47,1
24,38,Basico,2,Curto,139.14,1
63,45,Premium,3,Medio,140.47,0
30,28,Basico,5,Curto,152.38,1
57,61,Standard,5,Longo,136.3,0
59,92,Standard,4,Curto,114.36,0
26,61,Premium,5,Curto,91.39,0
67,56,Standard,1,Medio,165.29,0
44,15,Standard,5,Medio,83.94,0
19,55,Basico,4,Medio,153.85,0
22,9,Standard,3,Longo,85.0,0
46,29,Premium,3,Longo,143.8,1
54,24,Basico,5,Medio,162.06,0
55,83,Basico,2,Medio,82.81,0
36,4,Premium,3,Longo,58.99,1
25,64,Basico,5,Longo,69.65,0
65,93,Basico,4,Longo,140.9,0
62,48,Premium,5,Longo,177.42,0
18,2,Basico,3,Medio,56.75,0
39,44,Premium,4,Longo,160.12,0
69,13,Premium,5,Medio,101.2,0
34,29,Standard,1,Curto,121.78,1
24,67,Standard,4,Curto,189.33,0
42,17,Basico,1,Longo,99.8,1
62,61,Basico,2,Curto,119.8,0
21,36,Premium,4,Curto,52.05,1
53,24,Basico,1,Curto,62.24,1
23,47,Premium,3,Longo,88.79,0
48,64,Premium,3,Longo,54.18,0
36,52,Basico,2,Curto,144.71,0
61,78,Premium,4,Medio,113.96,0
71,72,Standard,4,Curto,132.22,0
56,14,Basico,4,Longo,76.2,0
44,48,Standard,2,Longo,94.39,0
27,87,Basico,4,Longo,149.57,0
43,67,Premium,3,Curto,194.8,0
36,11,Basico,1,Medio,57.56,1
56,58,Standard,3,Longo,183.56,0
20,36,Premium,3,Longo,136.53,1
62,60,Basico,1,Curto,134.59,1
30,42,Basico,3,Medio,125.04,0
67,69,Basico,2,Curto,60.41,1
45,38,Standard,1,Longo,63.48,1
37,55,Standard,3,Medio,140.14,0
45,62,Basico,5,Medio,101.14,0
25,45,Premium,3,Longo,187.59,0
58,87,Premium,2,Medio,110.99,0
56,10,Standard,4,Medio,71.49,1
18,61,Premium,3,Curto,157.21,0
20,76,Standard,4,Longo,94.0,0
30,97,Basico,5,Longo,128.82,0
45,24,Standard,3,Longo,154.67,0
74,70,Standard,1,Longo,185.04,0
66,51,Basico,4,Longo,168.83,0
42,3,Premium,5,Medio,151.45,1
73,58,Standard,1,Curto,151.94,1
50,71,Standard,1,Longo,191.89,0
55,19,Basico,1,Curto,94.37,1
70,92,Premium,1,Curto,50.17,1
23,62,Standard,3,Medio,90.79,0
61,53,Basico,3,Longo,82.68,0
62,73,Standard,3,Medio,149.28,0
49,97,Basico,5,Longo,145.06,0
62,56,Premium,5,Medio,139.02,0
64,89,Premium,5,Curto,52.44,0
38,40,Premium,2,Longo,159.32,1
33,2,Premium,5,Curto,98.53,0
71,5,Standard,3,Curto,149.76,1
38,4,Standard,3,Medio,133.49,1
28,4,Premium,2,Longo,101.41,1
54,53,Premium,2,Curto,70.19,0
53,46,Premium,5,Medio,64.16,0
52,86,Standard,4,Longo,174.73,0
36,48,Premium,2,Longo,187.76,0
37,8,Premium,1,Curto,147.47,1
74,98,Premium,3,Longo,65.52,0
35,19,Basico,1,Curto,110.3,1
64,60,Premium,3,Longo,159.34,0
58,34,Basico,3,Medio,166.97,0
66,49,Basico,2,Curto,67.73,0
31,81,Premium,2,Curto,50.0,0
32,61,Basico,1,Longo,156.82,1
48,16,Premium,3,Longo,103.49,1
18,87,Standard,1,Curto,88.17,1
70,2,Standard,4,Longo,51.93,0
71,31,Standard,1,Medio,131.04,1
71,98,Standard,5,Longo,177.67,0
20,12,Basico,1,Medio,193.64,1
33,88,Premium,5,Medio,134.86,0
40,72,Premium,5,Medio,127.17,0
74,67,Premium,5,Medio,62.76,0
28,13,Standard,4,Medio,132.33,0
29,97,Standard,1,Longo,107.0,0
27,10,Premium,1,Medio,141.07,1
49,55,Standard,4,Longo,108.31,0
33,66,Premium,3,Medio,86.04,0
25,91,Premium,2,Curto,64.24,0
55,28,Premium,1,Medio,97.24,1
29,8,Premium,2,Curto,64.5,1
41,66,Premium,4,Medio,76.53,0
45,24,Premium,3,Medio,198.1,1
70,97,Premium,3,Medio,116.62,0
25,75,Standard,3,Curto,129.78,0
45,41,Premium,4,Curto,181.04,0
53,8,Premium,5,Medio,199.34,1
43,78,Standard,5,Longo,137.41,0
25,39,Standard,2,Medio,171.87,1
67,24,Standard,5,Curto,99.04,1
45,4,Premium,5,Medio,95.86,1
45,10,Basico,3,Curto,110.41,0
54,58,Basico,3,Curto,150.88,0
58,97,Standard,2,Curto,152.33,0
53,87,Basico,1,Medio,97.29,1
44,78,Standard,2,Curto,69.98,1
71,37,Premium,2,Curto,144.86,1
34,71,Basico,4,Medio,69.25,0
26,4,Premium,4,Curto,136.77,0
50,47,Basico,2,Medio,154.01,1
70,89,Premium,2,Curto,155.09,0
37,17,Basico,2,Longo,163.02,1
30,69,Premium,5,Longo,180.93,0
45,36,Premium,4,Curto,124.99,1
65,59,Basico,2,Longo,159.54,1
46,47,Premium,3,Medio,142.88,0
30,76,Premium,3,Longo,78.0,0
63,27,Premium,5,Curto,53.85,1
52,68,Basico,5,Curto,92.68,0
23,76,Basico,1,Medio,116.46,0
35,80,Premium,1,Curto,142.57,0
68,39,Premium,1,Medio,177.49,1
22,44,Basico,5,Longo,79.44,0
64,95,Basico,5,Longo,68.83,0
42,61,Premium,5,Medio,194.52,0
19,92,Premium,3,Medio,66.21,0
27,57,Premium,5,Curto,121.77,0
73,66,Standard,3,Longo,137.83,0
47,55,Basico,1,Medio,131.21,0
67,39,Standard,1,Longo,62.9,1
62,97,Basico,1,Medio,58.55,0
22,39,Basico,2,Longo,65.82,1
72,90,Basico,2,Curto,137.84,0
73,76,Basico,4,Longo,131.65,0
50,32,Basico,4,Longo,85.06,1
71,5,Basico,4,Longo,145.67,0
18,87,Basico,2,Longo,173.01,1
35,18,Standard,2,Longo,56.24,1
49,79,Premium,4,Curto,124.72,0
64,39,Premium,4,Medio,153.4,0
66,91,Standard,5,Longo,87.85,0
28,96,Standard,4,Curto,96.17,0
38,58,Standard,5,Longo,142.05,0
43,58,Standard,3,Longo,184.69,0
42,47,Basico,2,Medio,171.49,0
39,40,Premium,4,Longo,137.47,0
44,12,Basico,2,Curto,159.53,1
66,44,Premium,2,Curto,104.72,1
30,88,Premium,2,Medio,146.14,1
50,52,Standard,3,Longo,119.93,0
51,41,Basico,1,Curto,78.49,1
58,99,Standard,4,Longo,155.26,0
52,62,Basico,1,Longo,133.47,0
18,26,Premium,1,Longo,103.79,1
38,37,Standard,1,Medio,186.7,1
65,59,Standard,2,Longo,53.14,1
72,6,Premium,5,Curto,97.37,0
23,4,Premium,2,Longo,58.53,1
45,44,Premium,2,Curto,164.98,1
34,57,Standard,1,Longo,155.32,0
22,30,Basico,2,Curto,99.7,1
48,22,Standard,1,Curto,151.35,1
22,41,Basico,5,Longo,109.39,0
55,9,Standard,4,Longo,163.44,1
20,31,Standard,1,Curto,118.13,1
70,52,Premium,5,Medio,111.84,0
40,29,Basico,4,Longo,190.21,1
54,38,Standard,3,Medio,87.63,1
70,30,Standard,1,Longo,68.07,1
54,81,Premium,1,Longo,137.68,0
27,99,Premium,3,Longo,195.4,0
27,1,Basico,3,Longo,106.68,0
36,77,Standard,1,Medio,59.31,1
34,76,Basico,3,Longo,100.9,0
38,92,Standard,2,Curto,125.89,0
31,11,Basico,4,Curto,74.29,1
26,38,Premium,4,Medio,148.72,0
63,65,Standard,4,Longo,199.66,0
18,95,Basico,2,Curto,117.76,1
68,12,Premium,3,Medio,103.21,0
62,45,Premium,5,Longo,110.11,0
30,26,Basico,3,Curto,67.27,0
21,16,Standard,1,Curto,182.49,1
18,94,Standard,4,Medio,112.22,0
66,97,Premium,3,Longo,108.09,0
57,59,Standard,5,Longo,148.95,0
49,63,Standard,1,Curto,116.31,1
51,87,Standard,2,Curto,147.24,0
45,34,Premium,2,Curto,59.22,1
48,69,Basico,5,Longo,172.06,0
25,82,Standard,1,Medio,191.08,0
56,29,Premium,4,Medio,147.31,0
43,70,Premium,3,Longo,193.18,0
51,73,Basico,1,Medio,72.71,0
71,95,Standard,2,Curto,121.61,1
71,97,Standard,5,Medio,140.27,0
20,62,Basico,5,Medio,137.26,0
67,27,Basico,3,Medio,110.22,0
29,59,Premium,5,Curto,100.71,0
18,78,Premium,5,Longo,69.02,0
71,93,Basico,1,Curto,108.76,0
61,36,Standard,4,Longo,74.4,1
22,92,Premium,3,Longo,160.15,0
47,21,Premium,1,Longo,81.32,1
47,67,Standard,4,Medio,58.78,0
74,19,Premium,1,Medio,132.85,1
34,95,Standard,1,Longo,139.28,1
65,99,Standard,5,Longo,180.79,0
64,67,Standard,4,Medio,136.55,0
40,90,Basico,3,Curto,101.82,0
32,63,Basico,3,Longo,170.45,0
54,16,Basico,4,Curto,131.04,0
38,11,Standard,5,Medio,61.89,0
31,21,Standard,2,Longo,134.88,1
19,16,Basico,1,Curto,186.2,1
28,9,Premium,5,Curto,109.45,1
68,64,Standard,4,Curto,94.45,0
56,21,Premium,1,Medio,71.52,1
55,89,Premium,3,Medio,72.72,0
51,81,Standard,2,Curto,114.92,0
55,49,Standard,3,Curto,139.35,0
67,13,Premium,4,Medio,62.09,1
51,63,Premium,1,Curto,190.94,0
35,46,Basico,4,Curto,163.27,0
47,28,Basico,1,Medio,137.99,1
32,75,Standard,5,Curto,174.27,0
44,35,Basico,2,Curto,62.03,1
68,98,Basico,5,Curto,121.53,0
51,51,Basico,5,Medio,144.51,0
69,75,Basico,4,Curto,174.3,0
74,6,Premium,2,Medio,167.52,1
55,28,Standard,1,Medio,91.56,1
50,10,Basico,1,Longo,191.13,1
41,32,Premium,3,Longo,68.65,1
32,5,Premium,1,Curto,181.27,1
47,78,Premium,4,Medio,195.64,0
72,31,Basico,5,Longo,76.57,0
59,50,Basico,5,Curto,158.31,0
68,74,Standard,5,Longo,56.04,0
34,57,Basico,2,Longo,110.81,0
22,86,Basico,1,Medio,127.44,1
46,25,Premium,4,Medio,137.1,0
21,97,Standard,2,Longo,190.39,0
27,45,Basico,3,Longo,150.84,0
73,97,Basico,4,Medio,122.19,0
34,28,Premium,4,Curto,171.45,0
27,3,Premium,4,Medio,192.58,1
34,80,Basico,5,Longo,53.31,0
37,98,Standard,4,Curto,197.38,0
41,12,Standard,1,Longo,62.92,1
22,38,Premium,4,Curto,172.16,1
51,14,Premium,5,Longo,92.05,0
23,28,Basico,4,Curto,69.83,0
